Site Id,Loc Id,State,Runway Id,Length,Width,Surface Type Condition,Surface Treatment,PCN,Edge Light Intensity,Length Source,Length Source Date,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base End Id,Base True Heading,Base ILS Type,Base Right Hand Traffic Pattern,Base Marking Type,Base Marking Condition,Base Latitude DMS,Base Latitude Seconds,Base Longitude DMS,Base Longitude Seconds,Base Elevation,Base Threshold Height,Base Visual Glide Path Angle,Base Displaced Latitude DMS,Base Displaced Latitude Seconds,Base Displaced Longitude DMS,Base Displaced Longitude Seconds,Base Displaced Elevation,Base Displaced Threshold Length,Base TDZ Elevation,Base VGSI,Base RVR,Base RVV,Base ALS,Base REIL,Base Centerline Lights,Base Touchdown Lights,Base Obstacle,Base Obstacle Marking Lighting,Base Obstacle Part77,Base Obstacle Clearance Slope,Base Obstacle Height Above Runway,Base Obstacle Distance From Runway,Base Obstacle Centerline Offset,Base Gradient,Base Gradient Direction,Base Position Source,Base Position Source Date,Base Elevation Source,Base Elevation Source Date,Base Displaced Position Source,Base Displaced Position Source Date,Base Elevation Position Source,Base Elevation Position Source Date,Base TDZ Elevation Source,Base TDZ Elevation Source Date,Base TORA,Base TODA,Base ASDA,Base LDA,Base LAHSO,Base LAHSO Id,Base LAHSO Desc,Base LAHSO Latitude DMS,Base LAHSO Latitude Seconds,Base LAHSO Longitude DMS,Base LAHSO Longitude Seconds,Base LAHSO Source,Base LAHSO Source Date,Reciprocal End Id,Reciprocal True Heading,Reciprocal ILS Type,Reciprocal Right Hand Traffic Pattern,Reciprocal Marking Type,Reciprocal Marking Condition,Reciprocal Latitude DMS,Reciprocal Latitude Seconds,Reciprocal Longitude DMS,Reciprocal Longitude Seconds,Reciprocal Elevation,Reciprocal Threshold Height,Reciprocal Visual Glide Path Angle,Reciprocal Displaced Latitude DMS,Reciprocal Displaced Latitude Seconds,Reciprocal Displaced Longitude DMS,Reciprocal Displaced Longitude Seconds,Reciprocal Displaced Elevation,Reciprocal Displaced Threshold Length,Reciprocal TDZ Elevation,Reciprocal VGSI,Reciprocal RVR,Reciprocal RVV,Reciprocal ALS,Reciprocal REIL,Reciprocal Centerline Lights,Reciprocal Touchdown Lights,Reciprocal Obstacle,Reciprocal Obstacle Marking Lighting,Reciprocal Obstacle Part77,Reciprocal Obstacle Clearance Slope,Reciprocal Obstacle Height Above Runway,Reciprocal Obstacle Distance From Runway,Reciprocal Obstacle Centerline Offset,Reciprocal Gradient,Reciprocal Gradient Direction,Reciprocal Position Source,Reciprocal Position Source Date,Reciprocal Elevation Source,Reciprocal Elevation Source Date,Reciprocal Displaced Position Source,Reciprocal Displaced Position Source Date,Reciprocal Elevation Position Source,Reciprocal Elevation Position Source Date,Reciprocal TDZ Elevation Source,Reciprocal TDZ Elevation Source Date,Reciprocal TORA,Reciprocal TODA,Reciprocal ASDA,Reciprocal LDA,Reciprocal LAHSO,Reciprocal LAHSO Id,Reciprocal LAHSO Desc,Reciprocal LAHSO Latitude DMS,Reciprocal LAHSO Latitude Seconds,Reciprocal LAHSO Longitude DMS,Reciprocal LAHSO Longitude Seconds,Reciprocal LAHSO Source,Reciprocal LAHSO Source Date
00385.1*A,HSV,AL,18L/36R,10001,150,ASPH-G,GRVD,105/F/B/W/T,HIGH,3RD PARTY SURVEY,2017-03-09,120,250,550,,18L,181,ILS,N,PIR,G,034-39-11.1500N,124751.1545N,086-45-55.6700W,0312355.6731W,609.3,73,3,,,,,,,609.3,P4R,TR,N,MALSR,N,,,,,PIR,50,,,,,,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,,,,,3RD PARTY SURVEY,2017-03-09,10001,10001,9801,9801,,,,,,,,,,36R,1,ILS/DME,Y,PIR,G,034-37-32.2500N,124652.2495N,086-45-57.6600W,0312357.6619W,588.6,72,3,034-37-34.2300N,124654.2301N,086-45-57.6200W,0312357.6222W,589,200,594.9,P4R,TR,N,MALSR,N,,,,,PIR,50,,,,,,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,10001,10001,10001,9801,,,,,,,,,
00385.1*A,HSV,AL,18R/36L,12600,150,ASPH-CONC-G,GRVD,120/F/A/X/T,HIGH,3RD PARTY SURVEY,2017-03-09,120,250,550,,18R,181,ILS,Y,PIR,G,034-39-10.0300N,124750.0278N,086-46-55.5600W,0312415.5617W,628.4,,,,,,,,,628.9,,TMR,N,ALSF2,N,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,,,,,3RD PARTY SURVEY,2017-03-09,12600,12600,12600,12600,,,,,,,,,,36L,1,ILS/DME,N,PIR,G,034-37-05.4200N,124625.4156N,086-46-58.0500W,0312418.0470W,611.2,,,,,,,,,615.5,,TMR,N,MALSR,N,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2017-03-09,3RD PARTY SURVEY,2017-03-09,,,,,3RD PARTY SURVEY,2017-03-09,12600,12600,12600,12600,,,,,,,,,
00437.*A,BFM,AL,18/36,7800,150,ASPH-CONC-F,,34 /R/B/X/T,MED,3RD PARTY SURVEY,2019-06-05,76,150,320,,18,180,,N,NPI,G,030-38-31.1800N,110311.1769N,088-03-57.3000W,0317037.3006W,25.4,64,3,,,,,,,25.5,P4L,,,,,,,POLE,,D,30,33,1200,0B,,,3RD PARTY SURVEY,2019-06-05,3RD PARTY SURVEY,2019-06-05,,,,,3RD PARTY SURVEY,2019-06-05,,,,,,,,,,,,,,36,360,,Y,NPI,G,030-37-13.9700N,110233.9737N,088-03-57.2600W,0317037.2556W,25,62,3,,,,,,,26.1,P4L,,,,,,,TREES,,D,20,55,1300,400L,,,3RD PARTY SURVEY,2019-06-05,3RD PARTY SURVEY,2019-06-05,,,,,3RD PARTY SURVEY,2019-06-05,,,,,,,,,,,,,
00437.*A,BFM,AL,14/32,9618,150,ASPH-CONC-G,GRVD,72 /F/B/X/T,HIGH,3RD PARTY SURVEY,2019-06-05,75,185,325,,14,139,,Y,PIR,G,030-37-59.0800N,110279.0821N,088-04-47.7800W,0317087.7842W,26.2,68,3,,,,,,,26.2,P4L,R,,,Y,Y,,TREE,,C,34,39,1535,500R,,,3RD PARTY SURVEY,2019-06-05,3RD PARTY SURVEY,2019-06-05,,,,,3RD PARTY SURVEY,2019-06-05,,,,,,,,,,,,,,32,319,ILS/DME,N,PIR,G,030-36-47.5100N,110207.5137N,088-03-35.2100W,0317015.2083W,18.6,71,3,,,,,,,25.1,P4L,T,,MALSR,,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2019-06-05,3RD PARTY SURVEY,2019-06-05,,,,,3RD PARTY SURVEY,2019-06-05,,,,,,,,,,,,,
00511.*A,SEM,AL,15/33,8014,150,ASPH-CONC-F,,,HIGH,3RD PARTY SURVEY,2010-04-22,33,54,,,15,146,,N,PIR,F,032-21-10.9900N,116470.9865N,086-59-42.3300W,0313182.3323W,166.2,50,3,,,,,,,166.2,P4L,,,,,,,TREES,,C,27,34,1146,155L,,,3RD PARTY SURVEY,2010-04-22,3RD PARTY SURVEY,2010-04-22,,,,,3RD PARTY SURVEY,2010-04-22,,,,,,,,,,,,,,33,326,ILS/DME,N,PIR,F,032-20-05.4000N,116405.3963N,086-58-49.8300W,0313129.8328W,165.1,56,3,,,,,,,165.3,P4L,,,MALS,,,,TREES,,PIR,34,70,2631,263R,,,3RD PARTY SURVEY,2010-04-22,3RD PARTY SURVEY,2010-04-22,,,,,3RD PARTY SURVEY,2010-04-22,,,,,,,,,,,,,
00682.*A,FHU,AZ,H1,40,40,ASPH,,,PERI,STATE,2000-06-14,,,,,H1,,,,,,031-35-28.3100N,113728.3100N,110-19-45.2000W,0397185.2000W,4573,,,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST,2018-10-21,FAA-EST,2018-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00682.*A,FHU,AZ,03/21,4285,75,ASPH-CONC-G,,22 /F/A/W/T,MED,NGS,2000-06-14,,,,,03,37,,,NPI,G,031-35-10.1500N,113710.1480N,110-20-56.2900W,0397256.2906W,4670.5,,,031-35-20.0900N,113720.0878N,110-20-47.6400W,0397247.6401W,4648,1253,4648,,,N,,N,N,N,,,A(V),50,,,,,,NGS,2000-06-14,,,NGS,2000-06-14,NGS,2000-06-14,NGS,2000-06-14,4285,4285,4285,3032,,,,,,,,,,21,217,,Y,NPI,G,031-35-44.1400N,113744.1424N,110-20-26.7000W,0397226.7031W,4585.2,,,,,,,,,4647.4,,,N,,N,N,N,,,A(V),50,,,,,,NGS,2000-06-14,,,,,,,AVN,2011-04-11,4285,4285,4285,4285,,,,,,,,,
00682.*A,FHU,AZ,08/26,12001,150,CONC-E,,54 /R/B/W/T,HIGH,NGS,2000-06-14,75,200,450,700,08,90,,,PIR,G,031-35-15.2300N,113715.2281N,110-22-01.3800W,0397321.3797W,4719.1,50,3,,,,,,,4719.1,P4L,,,,,,,,,C,50,,,,,,,,,,,,,,AVN,2011-04-11,12001,12001,12001,12001,,,,,,,,,,26,270,LOC/GS,Y,PIR,G,031-35-15.4500N,113715.4464N,110-19-42.6800W,0397182.6768W,4599,80,3,,,,,,,4629,P4L,,,,,,,,,PIR,50,,,,,,,,,,,,,,NGS,2000-06-14,12001,12001,12001,12001,,,,,,,,,
00682.*A,FHU,AZ,12/30,5366,100,ASPH-CONC-G,,24 /F/A/W/T,MED,NGS,2000-06-14,46,106,137,172,12,127,,N,NPI,G,031-35-34.3500N,113734.3510N,110-20-35.7700W,0397235.7654W,4611.6,51,3,,,,,,,4618.6,P4L,,N,,N,N,N,,,B(V),50,,,,,,,,,,,,,,AVN,2011-04-11,5366,5366,5366,5366,,,,,,,,,,30,307,,Y,NPI,G,031-35-02.6300N,113702.6253N,110-19-46.0300W,0397186.0296W,4614.8,51,3,,,,,,,4619.6,P4R,,N,,N,N,N,,,B(V),50,,,,,,,,,,,,,,AVN,2011-04-11,5366,5366,5366,5366,,,,,,,,,
00753.*A,IWA,AZ,12C/30C,10201,150,ASPH-CONC-G,,26 /R/D/W/T,HIGH,3RD PARTY SURVEY,2018-05-02,55,95,185,550,12C,136,,N,PIR,G,033-19-03.4100N,119943.4065N,111-39-57.3200W,0401997.3227W,1347.7,50,3,,,,,,,1358.5,P4L,,,,,,,,,C,50,,,,,,3RD PARTY SURVEY,2018-05-02,3RD PARTY SURVEY,2018-05-02,,,,,3RD PARTY SURVEY,2018-05-02,10201,10201,10201,10201,,,,,,,,,,30C,316,LOC/GS,,PIR,G,033-17-51.3400N,119871.3375N,111-38-33.1900W,0401913.1900W,1380.5,49,3,,,,,,,1380.5,P4L,,,,,,,,,PIR,50,,,,,,3RD PARTY SURVEY,2018-05-02,3RD PARTY SURVEY,2018-05-02,,,,,3RD PARTY SURVEY,2018-05-02,10201,10201,10201,10201,,,,,,,,,
00753.*A,IWA,AZ,12R/30L,10401,150,CONC-G,,71 /R/C/W/T,MED,3RD PARTY SURVEY,2018-05-02,55,95,185,550,12R,136,,Y,PIR,G,033-19-03.6200N,119943.6168N,111-40-22.3300W,0402022.3251W,1341.2,60,3,,,,,,,1348.8,P4L,,,,,,,,,C,50,,,,,,3RD PARTY SURVEY,2018-05-02,3RD PARTY SURVEY,2018-05-02,,,,,3RD PARTY SURVEY,2018-05-02,10401,10401,10401,10401,,,,,,,,,,30L,316,,N,PIR,G,033-17-50.1400N,119870.1444N,111-38-56.5300W,0401936.5290W,1374.2,60,3,,,,,,,1374.2,P4L,,,,,N,,,,C,50,,,,,,3RD PARTY SURVEY,2018-05-02,3RD PARTY SURVEY,2018-05-02,,,,,3RD PARTY SURVEY,2018-05-02,10401,10401,10401,10401,,,,,,,,,
00753.*A,IWA,AZ,12L/30R,9300,150,CONC-G,,88 /R/C/W/T,HIGH,3RD PARTY SURVEY,2018-05-02,75,210,590,850,12L,136,,N,PIR,G,033-19-03.3200N,119943.3231N,111-39-40.7300W,0401980.7259W,1356.3,74,3,,,,,,,1365,P4L,,,,Y,,,,,B(V),50,,,,,,3RD PARTY SURVEY,2018-05-02,3RD PARTY SURVEY,2018-05-02,,,,,3RD PARTY SURVEY,2018-05-02,9300,9300,9300,9300,,,,,,,,,,30R,316,,Y,PIR,G,033-17-57.6100N,119877.6149N,111-38-24.0300W,0401904.0256W,1384.1,75,3,,,,,,,1384.1,P4L,,,,Y,,,,,B(V),50,,,,,,3RD PARTY SURVEY,2018-05-02,3RD PARTY SURVEY,2018-05-02,,,,,3RD PARTY SURVEY,2018-05-02,9300,9300,9300,9300,,,,,,,,,
00780.2*A,88AZ,AZ,17/35,3800,40,ASPH-CONC,,,,OWNER,2016-11-15,,,,,17,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00841.*A,NYL,AZ,08/26,6146,150,ASPH-G,,33 /F/B/W/T,HIGH,NGS,1997-04-29,63,137,206,,08,89,,Y,BSC,G,032-39-57.2400N,117597.2420N,114-36-20.3600W,0412580.3620W,194.7,,,,,,,,,201.4,,,N,,N,N,N,ROAD,,B(V),19,15,490,,,,MILITARY,2014-05-14,MILITARY,2014-05-14,,,,,MILITARY,2014-05-14,6146,6146,6146,6146,,,,,,,,,,26,269,,,BSC,G,032-39-58.1600N,117598.1650N,114-35-08.4800W,0412508.4760W,213.3,,,,,,,,,213.3,,,N,,N,N,N,ROAD,,B(V),50,14,1250,,,,MILITARY,2006-04-29,MILITARY,2014-05-14,,,,,MILITARY,2014-05-14,6146,6146,6146,6146,,,,,,,,,
00841.*A,NYL,AZ,17/35,5710,150,ASPH-CONC-G,,33 /F/B/W/T,HIGH,MILITARY,2006-04-29,72,171,255,,17,179,,Y,NPI,G,032-40-03.7500N,117603.7490N,114-36-14.6300W,0412574.6290W,196.3,40,3,,,,,,,196.7,V4L,,N,,N,N,N,TREE,,C,24,72,1980,150L,,,FAA-EST,2017-08-27,MILITARY,2014-05-14,,,,,MILITARY,2014-05-14,5710,5710,5710,5710,,,,,,,,,,35,359,,N,NPI,G,032-39-07.2600N,117547.2565N,114-36-13.6100W,0412573.6070W,182.5,,,,,,,,,188.7,,,N,,Y,N,N,BRUSH,,B(V),25,4,300,120L,,,FAA-EST,2017-08-27,MILITARY,2014-05-14,,,,,MILITARY,2011-04-11,5710,5710,5710,5710,,,,,,,,,
00841.*A,NYL,AZ,03L/21R,13300,200,CONC-G,,71 /R/C/W/T,HIGH,NGS,1997-04-29,103,200,400,,03L,44,,Y,PIR,G,032-38-12.4200N,117492.4170N,114-37-45.8200W,0412665.8220W,192.6,53,3,,,,,,,195.4,P4L,,N,,N,N,N,,,PIR,35,,375,175L,,,MILITARY,2014-04-14,MILITARY,2009-09-08,,,,,MILITARY,2014-05-14,13300,13300,13300,13300,,,,,,,,,,21R,224,ILS,N,PIR,G,032-39-46.9000N,117586.8960N,114-35-57.5500W,0412557.5480W,192.7,50,3,,,,,,,192.7,P4L,,N,MALSR,,N,N,,,PIR,38,,,890R,,,MILITARY,2014-04-14,MILITARY,2009-09-08,,,,,MILITARY,2014-05-14,13300,13300,13300,13300,,,,,,,,,
00841.*A,NYL,AZ,03R/21L,9240,150,ASPH-CONC-G,,59 /F/B/W/T,HIGH,MILITARY,2014-05-14,162,200,400,,03R,44,,Y,NPI,G,032-38-55.4600N,117535.4600N,114-36-45.1000W,0412605.1040W,188,50,3,,,,,,,188,P4L,,N,,N,N,N,ANT,L,B(V),15,29,650,300L,,,MILITARY,2014-04-14,MILITARY,2006-04-29,,,,,MILITARY,2014-05-14,9240,9240,9240,9240,,,,,,,,,,21L,224,,N,NPI,G,032-40-01.0800N,117601.0790N,114-35-29.8600W,0412529.8560W,207.6,51,3,,,,,,,207.6,P4L,,N,,N,N,N,ROAD,,B(V),50,18,1250,,,,MILITARY,2014-04-14,MILITARY,2009-09-08,,,,,MILITARY,2014-05-14,9240,9240,9240,9240,,,,,,,,,
01348.*A,2CL1,CA,06/24,2326,20,ASPH-CONC-G,,,,NGS,2002-08-03,,,,,06,,,Y,BSC,G,039-27-16.5500N,142036.5535N,121-17-44.4300W,0436664.4269W,2091.5,,,,,,,,,,,,N,,N,N,N,,,A(V),50,,,,,,NGS,2002-08-03,NGS,2002-08-03,,,,,,,,,,,,,,,,,,,,24,,,N,BSC,G,039-27-20.9500N,142040.9491N,121-17-15.3200W,0436635.3230W,2108.4,,,,,,,,,,,,N,,N,N,N,TREE,,A(V),5,40,420,0,,,NGS,2002-08-03,NGS,2002-08-03,,,,,,,,,,,,,,,,,,,
01353.*A,BUR,CA,15/33,6886,150,ASPH-CONC-E,GRVD,58 /R/B/W/T,MED,3RD PARTY SURVEY,2017-08-06,120,201,352,839,15,167,,Y,NPI,G,034-12-44.4400N,123164.4408N,118-21-37.6600W,0426097.6586W,778,34,3.25,034-12-35.6700N,123155.6750N,118-21-35.2400W,0426095.2404W,767.9,909,767.9,V4L,,N,,Y,N,N,RR,,B(V),0,30,200,250L,,,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,6885,6885,6885,5976,4250,08/26,,034-11-54.6900N,123114.6886N,118-21-23.9100W,0426083.9116W,FAA-EST,2007-07-12,33,347,,N,NPI,G,034-11-38.0600N,123098.0587N,118-21-19.3300W,0426079.3325W,694.5,62,3.2,034-11-41.4300N,123101.4338N,118-21-20.2600W,0426080.2640W,698.4,350,735.8,P4L,,N,,Y,N,N,POLE,,B(V),0,31,201,240R,,,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,6885,6885,6885,6535,,,,,,,,,
01353.*A,BUR,CA,08/26,5802,150,ASPH-CONC-E,GRVD,58 /R/B/W/T,HIGH,3RD PARTY SURVEY,2017-08-06,120,201,352,839,08,91,ILS,Y,PIR,G,034-11-52.4800N,123112.4794N,118-22-08.9100W,0426128.9145W,727.4,72,3,,,,,,,727.4,P4L,T,Y,MALSR,N,N,N,ROAD,,PIR,7,14,300,0B,,,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,,,,,3RD PARTY SURVEY,2017-08-06,5801,5801,5801,5801,,,,,,,,,,26,271,,N,NPI,G,034-11-51.5400N,123111.5414N,118-20-59.8600W,0426059.8557W,697.3,,,,,,,,,716.3,,R,N,,Y,N,N,POLE,,B(V),1,40,245,410R,,,3RD PARTY SURVEY,2017-08-06,3RD PARTY SURVEY,2017-08-06,,,,,3RD PARTY SURVEY,2017-08-06,5801,5801,5801,5801,,,,,,,,,
01369.1*A,CMA,CA,08/26,6013,150,ASPH-CONC-G,RFSC,,MED,NGS,2006-02-07,50,80,125,,08,90,,Y,NPI,G,034-12-49.8100N,123169.8119N,119-06-15.4600W,0428775.4596W,63.3,48,3,,,,,,,68,P4L,,N,,Y,,N,,,C,50,,,,,,NGS,2006-02-07,NGS,2006-02-07,,,,,NGS,2006-02-07,,,,,,,,,,,,,,26,270,,N,NPI,G,034-12-49.2300N,123169.2278N,119-05-03.8700W,0428703.8660W,76.8,48,3,,,,,,,76.8,P4L,,N,,Y,,N,,,C,50,,,,,,NGS,2006-02-07,NGS,2006-02-07,,,,,AVN,2011-04-11,,,,,,,,,,,,,
01437.*A,CCR,CA,14L/32R,4602,150,ASPH-CONC-E,GRVD,108/F/C/W/T,MED,3RD PARTY SURVEY,2018-05-31,60,90,140,,14L,154,,N,NPI,G,037-59-47.4500N,136787.4531N,122-03-31.8900W,0439411.8880W,18.2,,,037-59-44.7900N,136784.7895N,122-03-30.2000W,0439410.2037W,18.4,301,24.5,,,N,,N,N,N,ROAD,,B(V),43,15,850,,,,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,4601,4601,4001,3701,,,,,,,,,,32R,334,,Y,NPI,G,037-59-06.7300N,136746.7303N,122-03-06.2700W,0439386.2717W,25.6,40,4,037-59-09.8200N,136749.8238N,122-03-08.2200W,0439388.2233W,25.4,350,25.4,P4R,,N,,Y,N,N,TREE,,B(V),35,32,1335,225R,,,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,4601,5081,4481,4131,,,,,,,,,
01437.*A,CCR,CA,14R/32L,2798,75,ASPH-F,,14 /F/B/W/T,,3RD PARTY SURVEY,2018-05-31,12,,,,14R,154,,Y,BSC,G,037-59-45.2400N,136785.2408N,122-03-37.4800W,0439417.4827W,17.1,,,,,,,,,22.2,,,N,,N,N,N,ROAD,,A(V),25,15,580,,,,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,,,,,3RD PARTY SURVEY,2018-05-31,2799,2799,2799,2799,,,,,,,,,,32L,334,,N,BSC,G,037-59-20.4900N,136760.4870N,122-03-21.9000W,0439401.8982W,22.2,,,,,,,,,22.2,,,N,,N,N,N,OTHER,,A(V),23,46,1260,175L,,,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,,,,,3RD PARTY SURVEY,2018-05-31,2799,2799,2799,2799,,,,,,,,,
01437.*A,CCR,CA,01R/19L,2770,75,ASPH-P,,12 /F/B/W/U,,3RD PARTY SURVEY,2018-05-31,17,,,,01R,24,,Y,BSC,G,037-59-01.9700N,136741.9681N,122-03-30.1700W,0439410.1744W,23.5,,,,,,,,,23.7,,,N,,N,N,N,TREE,,A(V),30,50,1675,150R,,,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,,,,,3RD PARTY SURVEY,2018-05-31,2770,2770,2770,2770,,,,,,,,,,19L,204,,N,BSC,G,037-59-27.0700N,136767.0744N,122-03-16.3600W,0439396.3568W,21.7,,,,,,,,,23.7,,,N,,N,N,N,TREE,,A(V),26,69,2000,257L,,,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,,,,,3RD PARTY SURVEY,2018-05-31,2770,2770,2770,2770,,,,,,,,,
01437.*A,CCR,CA,01L/19R,5001,150,ASPH-CONC-G,GRVD,124/F/C/W/T,HIGH,3RD PARTY SURVEY,2018-05-31,60,90,140,,01L,24,,N,PIR,G,037-58-55.0300N,136735.0338N,122-03-40.7900W,0439420.7895W,23.6,40,4,,,,,,,23.6,P4L,,N,,Y,N,N,TREE,,B(V),22,58,1480,550R,,,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,,,,,3RD PARTY SURVEY,2018-05-31,4701,5001,4401,4401,,,,,,,,,,19R,204,LDA/DME,Y,PIR,G,037-59-40.3600N,136780.3620N,122-03-15.8600W,0439395.8578W,21,22,3,037-59-34.9200N,136774.9169N,122-03-18.8500W,0439398.8535W,22.3,601,22.3,P4L,,N,MALS,N,N,N,POLE,,D,15,44,900,590L,,,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,3RD PARTY SURVEY,2018-05-31,5001,5001,5001,4401,,,,,,,,,
01568.5*A,L18,CA,18/36,2160,60,ASPH-G,RFSC,,MED,,,12,,,,18,194,,N,BSC,G,033-21-25.3600N,120085.3600N,117-14-59.8900W,0422099.8900W,708,20,4,,,,,,,708,PSIL,,N,,N,N,N,,,A(NP),20,,,,,,REGION,2004-02-17,REGION,2004-02-17,,,,,REGION,2004-02-17,,,,,,,,,,,,,,36,14,,Y,BSC,G,033-21-04.6400N,120064.6400N,117-15-06.1100W,0422106.1100W,699,,,,,,,,,708,,,N,,N,N,N,,,A(V),20,,,,,,REGION,2004-02-17,REGION,2004-02-17,,,,,REGION,2004-02-17,,,,,,,,,,,,,
01568.5*A,L18,CA,H1,45,45,ASPH-CONC-G,,,,OWNER,2004-11-19,,,,,H1,,,,,,033-21-06.7300N,120066.7300N,117-15-01.4800W,0422101.4800W,697,,,,,,,,,,,,,,,,,,,,,,,,,,ADO,2006-06-09,ADO,2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01638.*A,HAF,CA,12/30,5000,150,ASPH-CONC-F,,,MED,NGS,2005-12-01,30,200,360,,12,137,,N,NPI,G,037-31-06.4200N,135066.4216N,122-30-25.3700W,0441025.3737W,66.3,24,3,037-31-00.9900N,135060.9915N,122-30-19.0000W,0441019.0004W,58.8,752,58.8,P2L,,N,,N,N,N,TREES,,A(NP),17,70,1390,270R,,,NGS,2005-12-01,NGS,2005-12-01,NGS,2005-12-01,NGS,2005-12-01,NGS,2005-12-01,,,,,,,,,,,,,,30,317,,Y,NPI,G,037-30-30.3100N,135030.3128N,122-29-43.0000W,0440982.9993W,32.5,24,3,037-30-35.8200N,135035.8201N,122-29-49.4600W,0440989.4611W,35.7,762,53.7,P2L,,N,,Y,N,N,TREES,,A(NP),32,70,2478,180R,,,NGS,2005-12-01,NGS,2005-12-01,NGS,2005-12-01,NGS,2005-12-01,NGS,2005-12-01,,,,,,,,,,,,,
01796.*A,SLI,CA,04L/22R,5901,150,PEM,,36 /F/C/W/T,MED,MILITARY,2010-12-03,,,,,04L,,,,,,033-47-07.1000N,121627.1000N,118-03-43.4300W,0425023.4260W,20,,,,,,,,,24.6,,,,,,N,,,,,,,,,,,MILITARY,2010-12-03,MILITARY,2010-12-03,,,,,MILITARY,2010-12-03,,,,,,,,,,,,,,22R,,,,,,033-47-40.5800N,121660.5830N,118-02-46.1200W,0424966.1250W,26.9,,,,,,,,,27.9,,,,,,N,,,,,,,,,,,MILITARY,2010-12-03,MILITARY,2010-12-03,,,,,MILITARY,2010-12-03,,,,,,,,,,,,,
01796.*A,SLI,CA,04R/22L,7999,200,ASPH-CONC,,36 /R/C/W/T,HIGH,MILITARY,2010-12-03,,,,,04R,,,,,,033-47-01.6100N,121621.6060N,118-03-36.8100W,0425016.8100W,21.2,,,,,,,,,26,,,,,N,Y,,,,,,,,,,,MILITARY,2010-12-03,MILITARY,2010-12-03,,,,,MILITARY,2010-12-03,,,,,,,,,,,,,,22L,,,,,,033-47-47.0000N,121666.9980N,118-02-19.1500W,0424939.1480W,35.5,75,3,,,,,,,35.5,P4L,,,SALSF,Y,Y,,,,,,,,,,,MILITARY,2010-12-03,MILITARY,2010-12-03,,,,,MILITARY,2010-12-03,,,,,,,,,,,,,
