Site Id,Loc Id,State,Runway Id,Length,Width,Surface Type Condition,Surface Treatment,PCN,Edge Light Intensity,Length Source,Length Source Date,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base End Id,Base True Heading,Base ILS Type,Base Right Hand Traffic Pattern,Base Marking Type,Base Marking Condition,Base Latitude DMS,Base Latitude Seconds,Base Longitude DMS,Base Longitude Seconds,Base Elevation,Base Threshold Height,Base Visual Glide Path Angle,Base Displaced Latitude DMS,Base Displaced Latitude Seconds,Base Displaced Longitude DMS,Base Displaced Longitude Seconds,Base Displaced Elevation,Base Displaced Threshold Length,Base TDZ Elevation,Base VGSI,Base RVR,Base RVV,Base ALS,Base REIL,Base Centerline Lights,Base Touchdown Lights,Base Obstacle,Base Obstacle Marking Lighting,Base Obstacle Part77,Base Obstacle Clearance Slope,Base Obstacle Height Above Runway,Base Obstacle Distance From Runway,Base Obstacle Centerline Offset,Base Gradient,Base Gradient Direction,Base Position Source,Base Position Source Date,Base Elevation Source,Base Elevation Source Date,Base Displaced Position Source,Base Displaced Position Source Date,Base Elevation Position Source,Base Elevation Position Source Date,Base TDZ Elevation Source,Base TDZ Elevation Source Date,Base TORA,Base TODA,Base ASDA,Base LDA,Base LAHSO,Base LAHSO Id,Base LAHSO Desc,Base LAHSO Latitude DMS,Base LAHSO Latitude Seconds,Base LAHSO Longitude DMS,Base LAHSO Longitude Seconds,Base LAHSO Source,Base LAHSO Source Date,Reciprocal End Id,Reciprocal True Heading,Reciprocal ILS Type,Reciprocal Right Hand Traffic Pattern,Reciprocal Marking Type,Reciprocal Marking Condition,Reciprocal Latitude DMS,Reciprocal Latitude Seconds,Reciprocal Longitude DMS,Reciprocal Longitude Seconds,Reciprocal Elevation,Reciprocal Threshold Height,Reciprocal Visual Glide Path Angle,Reciprocal Displaced Latitude DMS,Reciprocal Displaced Latitude Seconds,Reciprocal Displaced Longitude DMS,Reciprocal Displaced Longitude Seconds,Reciprocal Displaced Elevation,Reciprocal Displaced Threshold Length,Reciprocal TDZ Elevation,Reciprocal VGSI,Reciprocal RVR,Reciprocal RVV,Reciprocal ALS,Reciprocal REIL,Reciprocal Centerline Lights,Reciprocal Touchdown Lights,Reciprocal Obstacle,Reciprocal Obstacle Marking Lighting,Reciprocal Obstacle Part77,Reciprocal Obstacle Clearance Slope,Reciprocal Obstacle Height Above Runway,Reciprocal Obstacle Distance From Runway,Reciprocal Obstacle Centerline Offset,Reciprocal Gradient,Reciprocal Gradient Direction,Reciprocal Position Source,Reciprocal Position Source Date,Reciprocal Elevation Source,Reciprocal Elevation Source Date,Reciprocal Displaced Position Source,Reciprocal Displaced Position Source Date,Reciprocal Elevation Position Source,Reciprocal Elevation Position Source Date,Reciprocal TDZ Elevation Source,Reciprocal TDZ Elevation Source Date,Reciprocal TORA,Reciprocal TODA,Reciprocal ASDA,Reciprocal LDA,Reciprocal LAHSO,Reciprocal LAHSO Id,Reciprocal LAHSO Desc,Reciprocal LAHSO Latitude DMS,Reciprocal LAHSO Latitude Seconds,Reciprocal LAHSO Longitude DMS,Reciprocal LAHSO Longitude Seconds,Reciprocal LAHSO Source,Reciprocal LAHSO Source Date
04507.*A,MDW,IL,04R/22L,6445,150,ASPH-CONC-E,GRVD,62 /F/D/X/T,HIGH,3RD PARTY SURVEY,2011-10-04,95,165,250,,04R,43,ILS/DME,N,PIR,G,041-46-44.9800N,150404.9844N,087-45-33.5500W,0315933.5457W,619.7,66,3,041-46-48.7000N,150408.6980N,087-45-28.8500W,0315928.8454W,619.1,518,619.2,P4L,TR,N,,Y,Y,N,ROAD,,PIR,0,15,200,325R,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,6446,6446,6446,5928,,,,,,,,,,22L,223,,N,PIR,G,041-47-31.1900N,150451.1910N,087-44-35.0100W,0315875.0108W,605.2,43,3,041-47-26.6400N,150446.6426N,087-44-40.7800W,0315880.7751W,606,635,611,P4R,TR,N,,Y,Y,N,ROAD,,C,0,15,200,350L,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,6446,6446,6446,5812,,,,,,,,,
04507.*A,MDW,IL,13R/31L,3859,60,ASPH-E,,42 /R/B/X/T,MED,3RD PARTY SURVEY,2011-10-04,12,,,,13R,134,,,BSC,G,041-47-17.0500N,150437.0509N,087-45-31.7000W,0315931.6995W,606.9,,,,,,,,,611.7,,,,,N,N,N,TREE,,A(V),23,55,1504,214R,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,,,,,3RD PARTY SURVEY,2011-10-04,,,,,,,,,,,,,,31L,314,,,BSC,G,041-46-50.7800N,150410.7771N,087-44-54.7900W,0315894.7850W,612.9,,,,,,,,,613,,,,,N,N,N,TREE,,A(V),26,59,1737,147R,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,,,,,3RD PARTY SURVEY,2011-10-04,,,,,,,,,,,,,
04507.*A,MDW,IL,04L/22R,5507,150,ASPH-G,GRVD,69 /F/D/X/T,MED,3RD PARTY SURVEY,2011-10-04,60,120,,,04L,43,,N,NPI,G,041-46-52.9300N,150412.9266N,087-45-40.3000W,0315940.3005W,618.5,39,3,041-46-58.3600N,150418.3561N,087-45-33.4200W,0315933.4156W,617.1,758,617.2,P4L,,N,,N,N,N,ROAD,,C,0,15,200,25L,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,5507,5507,5507,4749,,,,,,,,,,22R,223,,N,NPI,G,041-47-32.4100N,150452.4136N,087-44-50.2900W,0315890.2885W,605.2,35,3,041-47-26.1200N,150446.1188N,087-44-58.2700W,0315898.2674W,605.6,878,613.5,P4L,,N,,N,N,N,ROAD,,C,0,15,200,125R,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,5507,5507,5507,4629,,,,,,,,,
04507.*A,MDW,IL,13L/31R,5141,150,ASPH-CONC-G,GRVD,59 /R/B/W/T,MED,3RD PARTY SURVEY,2011-10-04,80,125,,,13L,134,,N,NPI,G,041-47-32.3400N,150452.3399N,087-45-28.5900W,0315928.5870W,606.1,,,041-47-27.2200N,150447.2226N,087-45-21.3900W,0315921.3897W,605.9,752,609.1,,,N,,N,N,N,ROAD,,C,0,15,200,0B,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,5141,5141,5141,4388,,,,,,,,,,31R,314,,N,NPI,G,041-46-57.3600N,150417.3637N,087-44-39.3900W,0315879.3877W,608.3,44,3,,,,,,,609.9,P4L,,N,,N,N,N,POLE,L,C,13,34,656,285R,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,,,,,3RD PARTY SURVEY,2011-10-04,5141,5141,5141,5141,,,,,,,,,
04507.*A,MDW,IL,13C/31C,6522,150,ASPH-CONC-E,GRVD,61 /F/D/X/T,HIGH,3RD PARTY SURVEY,2011-10-04,95,165,250,,13C,134,ILS/DME,N,PIR,G,041-47-29.6700N,150449.6666N,087-45-39.8500W,0315939.8524W,607,47,3,041-47-26.5100N,150446.5140N,087-45-35.4200W,0315935.4244W,608.1,463,610.6,P4R,TR,N,RLLS,N,Y,N,ROAD,,PIR,0,15,200,225R,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,6522,6522,6522,6059,,,,,,,,,,31C,314,ILS/DME,N,PIR,G,041-46-45.2700N,150405.2676N,087-44-37.4700W,0315877.4660W,611.6,63,3,041-46-50.0000N,150410.0037N,087-44-44.1200W,0315884.1179W,611.9,696,612.7,P4L,TR,N,RLLS,Y,Y,N,ROAD,,PIR,0,47,200,225L,,,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,3RD PARTY SURVEY,2011-10-04,6522,6522,6522,5826,,,,,,,,,
04508.*A,ORD,IL,04L/22R,7500,150,ASPH-G,GRVD,108/R/C/W/U,HIGH,3RD PARTY SURVEY,2016-10-03,100,185,350,,04L,39,LOCALIZER,N,PIR,G,041-58-53.9600N,151133.9601N,087-54-50.1000W,0316490.1039W,655.7,,,,,,,,,658.2,,TR,N,,N,Y,N,,,D,50,,,,,,3RD PARTY SURVEY,2016-10-03,3RD PARTY SURVEY,2016-10-03,,,,,3RD PARTY SURVEY,2016-10-03,7500,7500,7500,,,,,,,,,,,22R,219,ILS,N,PIR,G,041-59-51.1300N,151191.1336N,087-53-46.9400W,0316426.9364W,647.7,69,3,,,,,,,651.5,P4L,TR,N,MALSR,N,Y,Y,TREES,,PIR,50,43,2415,640L,,,3RD PARTY SURVEY,2016-10-03,3RD PARTY SURVEY,2016-10-03,,,,,3RD PARTY SURVEY,2016-10-03,,,,7300,,,,,,,,,
04508.*A,ORD,IL,09L/27R,7500,150,CONC-G,GRVD,91 /R/B/W/T,HIGH,3RD PARTY SURVEY,2016-10-03,75,210,500,913,09L,90,ILS/DME,,PIR,G,042-00-10.2000N,151210.1954N,087-55-36.0300W,0316536.0339W,668,,,,,,,,,668,,TMR,,ALSF2,N,Y,Y,TOWER,LM,PIR,36,745,27413,4442R,,,3RD PARTY SURVEY,2016-10-03,3RD PARTY SURVEY,2016-10-03,,,,,3RD PARTY SURVEY,2016-10-03,7500,7500,7500,7500,,,,,,,,,,27R,270,ILS/DME,,PIR,G,042-00-10.1900N,151210.1909N,087-53-56.7000W,0316436.6997W,663.6,,,,,,,,,663.6,,TMR,,ALSF2,N,Y,Y,BLDG,LM,PIR,42,84,3793,118L,,,3RD PARTY SURVEY,2016-10-03,3RD PARTY SURVEY,2016-10-03,,,,,3RD PARTY SURVEY,2016-10-03,7500,7500,7500,7500,,,,,,,,,
04508.*A,ORD,IL,10C/28C,10800,200,CONC-E,GRVD,96 /R/C/W/T,HIGH,3RD PARTY SURVEY,2016-10-03,75,135,375,902,10C,90,ILS/DME,,PIR,G,041-57-56.5300N,151076.5251N,087-55-53.4800W,0316553.4778W,669.4,75,3,,,,,,,669.4,P4L,TMR,Y,ALSF2,N,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2016-10-03,3RD PARTY SURVEY,2016-10-03,,,,,3RD PARTY SURVEY,2016-10-03,10801,10801,10540,10540,9610,,TWY GG,041-57-56.7300N,151076.7337N,087-53-46.2700W,0316426.2710W,FAA-EST,2013-09-03,28C,270,ILS/DME,,PIR,G,041-57-56.7600N,151076.7568N,087-53-30.5200W,0316410.5171W,650.1,80,3,,,,,,,651.1,P4L,TMR,Y,ALSF2,N,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2016-10-03,3RD PARTY SURVEY,2016-10-03,,,,,3RD PARTY SURVEY,2016-10-03,10801,10801,10801,10801,9610,,TWY Z,041-57-56.5500N,151076.5531N,087-55-37.7200W,0316537.7240W,FAA-EST,2013-09-03
04508.*A,ORD,IL,10L/28R,13000,150,ASPH-CONC-G,GRVD,120/R/B/W/T,HIGH,3RD PARTY SURVEY,2016-10-03,100,185,350,,10L,90,ILS/DME,N,PIR,G,041-58-08.3800N,151088.3816N,087-55-53.5100W,0316553.5142W,672.1,74,3,,,,,,,672.1,P4L,TMR,N,ALSF2,N,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2016-10-03,3RD PARTY SURVEY,2016-10-03,,,,,3RD PARTY SURVEY,2016-10-03,13000,13000,13000,12246,12156,,TWY Y,041-58-08.6400N,151088.6371N,087-53-12.6000W,0316392.5980W,FAA-EST,2008-08-20,28R,270,ILS/DME,N,PIR,G,041-58-08.6500N,151088.6529N,087-53-01.4200W,0316381.4244W,651.4,70,3,,,,,,,651.4,P4L,TMR,N,ALSF2,N,Y,Y,TREES,L,PIR,45,47,2336,678R,,,3RD PARTY SURVEY,2016-10-03,3RD PARTY SURVEY,2016-10-03,,,,,3RD PARTY SURVEY,2016-10-03,13000,13000,13000,13000,,,,,,,,,
04508.*A,ORD,IL,10R/28L,7500,150,CONC-E,GRVD,104/R/B/W/U,HIGH,3RD PARTY SURVEY,2021-01-25,120,250,550,1120,10R,90,ILS/DME,,PIR,G,041-57-25.9200N,151045.9240N,087-55-40.3000W,0316540.3004W,680,,,,,,,,,680,,TMR,,ALSF2,,Y,Y,TREE,L,PIR,31,74,2555,831R,,,3RD PARTY SURVEY,2021-01-25,3RD PARTY SURVEY,2021-01-25,,,,,3RD PARTY SURVEY,2021-01-25,7500,7500,7500,7500,,,,,,,,,,28L,270,ILS/DME,,PIR,G,041-57-26.0900N,151046.0865N,087-54-01.0400W,0316441.0355W,658,,,,,,,,,666.8,,TMR,,ALSF2,,Y,Y,,,PIR,50,,,,,,3RD PARTY SURVEY,2021-01-25,3RD PARTY SURVEY,2021-01-25,,,,,3RD PARTY SURVEY,2021-01-25,7500,7500,7500,7500,,,,,,,,,
